cod_ibge,nome,variavel,populacao_estimada,integrado_snt,p_value,tau
3519105,Iacanga,Óbitos totais,10633,Não,0.06648290104805674,0.13452094718811633
3519204,Iacri,Óbitos totais,6207,Não,0.9843764017414526,0.0018178182908727399
3519253,Iaras,Óbitos totais,8257,Não,3.737442923565386e-4,-0.2644962059910928
3519303,Ibaté,Óbitos totais,33110,Sim,0.9397153921393437,-0.005701109792243094
3519402,Ibirá,Óbitos totais,11934,Não,0.4606126724016849,-0.0539988144032616
3519501,Ibirarema,Óbitos totais,6461,Não,0.7090050849076217,0.02805953342277166
3519600,Ibitinga,Óbitos totais,61908,Sim,0.12435340279943571,0.10845654517986045
3519709,Ibiúna,Óbitos totais,77651,Sim,0.35450114806773286,-0.06277639514319912
3519808,Icém,Óbitos totais,7969,Sim,0.07616317347556535,0.1285120594491163
3519907,Iepê,Óbitos totais,7739,Sim,0.6794253753597326,0.031280797797180654
3520004,Igaraçu do Tietê,Óbitos totais,23430,Sim,0.025900432550652313,0.16333681523396734
3520103,Igarapava,Óbitos totais,26755,Sim,0.11350139290356986,-0.11588591604313718
3520202,Igaratá,Óbitos totais,10904,Sim,0.7768145320243708,0.020557789194219547
3520301,Iguape,Óbitos totais,29881,Sim,0.5250427365032009,-0.04543606237908483
3520400,Ilhabela,Óbitos totais,36329,Sim,0.7094975265384433,0.027700648335777598
3520426,Ilha Comprida,Óbitos totais,13955,Sim,0.21727247997001414,-0.09106336564168165
3520442,Ilha Solteira,Óbitos totais,26240,Sim,0.5348041919683665,-0.04505506641158038
3520509,Indaiatuba,Óbitos totais,267796,Sim,0.7061251789736422,0.02509078709365415
3520608,Indiana,Óbitos totais,5191,Não,0.5694762548408532,-0.04252421524047689
3520707,Indiaporã,Óbitos totais,4109,Não,0.07370663299190537,0.1328008961700161
3520806,Inúbia Paulista,Óbitos totais,3671,Sim,0.5150209525824998,-0.04879848815223214
3520905,Ipaussu,Óbitos totais,13933,Sim,0.19785991205624426,0.09619783797112356
3521002,Iperó,Óbitos totais,37999,Sim,0.4372930404294585,0.05748253390890916
3521101,Ipeúna,Óbitos totais,6999,Não,0.8546347911658484,-0.013770337376162513
3521150,Ipiguá,Óbitos totais,7037,Sim,0.5450519596895937,0.04510548273088739
3521200,Iporanga,Óbitos totais,4091,Não,0.09573263340244145,-0.12464194814568907
3521309,Ipuã,Óbitos totais,14691,Sim,0.8053773583076177,0.018337738881952056
3521408,Iracemápolis,Óbitos totais,22435,Sim,0.8283879062039048,0.01639344262295082
3521507,Irapuã,Óbitos totais,6946,Não,0.528883171125653,0.04674272272816684
3521606,Irapuru,Óbitos totais,7145,Não,0.23881973197811154,-0.08820291069236913
3521705,Itaberá,Óbitos totais,18258,Sim,0.0018277443976783799,-0.22858651545361408
3521804,Itaí,Óbitos totais,25930,Sim,0.17366630564826277,-0.09808654376357022
3521903,Itajobi,Óbitos totais,17420,Não,0.5367841267194144,-0.04520282921084567
3522000,Itaju,Óbitos totais,3702,Não,0.14574009392278225,0.10903892360526851
3522109,Itanhaém,Óbitos totais,117435,Sim,0.30739213816630123,0.06840028799536768
3522158,Itaóca,Óbitos totais,3490,Não,0.1251915153918926,-0.1153390075428567
3522208,Itapecerica da Serra,Óbitos totais,163928,Sim,0.24748425688595563,0.07754705923747793
3522307,Itapetininga,Óbitos totais,163774,Sim,0.6756002745641161,-0.027658808273719273
3522406,Itapeva,Óbitos totais,92324,Sim,0.1932441776151997,-0.08815311185816116
3522505,Itapevi,Óbitos totais,241924,Sim,0.40718647439944,0.05585458793993135
3522604,Itapira,Óbitos totais,73919,Sim,0.13779184311249648,-0.10096995158935293
3522653,Itapirapuã Paulista,Óbitos totais,4405,Não,0.43843489292086824,-0.058230408207059374
3522703,Itápolis,Óbitos totais,40464,Sim,0.5609770831070654,0.04153080740029555
3522802,Itaporanga,Óbitos totais,14260,Sim,0.582577224897532,-0.04079137675580216
3522901,Itapuí,Óbitos totais,13984,Não,0.8030923206351588,0.01880322442606121
3523008,Itapura,Óbitos totais,4014,Não,0.30838401734434706,-0.07597117671178523
3523107,Itaquaquecetuba,Óbitos totais,382521,Sim,0.9676210943363052,0.002823505998702354
3523206,Itararé,Óbitos totais,45327,Sim,0.24823653893462028,-0.08429671795229345
3523305,Itariri,Óbitos totais,15762,Sim,0.6121515162729232,0.03664673099832077
3523404,Itatiba,Óbitos totais,126403,Sim,0.3012332819665432,0.0706017877950674
3523503,Itatinga,Óbitos totais,19427,Sim,0.8108572780593752,-0.017364167025176652
3523602,Itirapina,Óbitos totais,16433,Sim,0.6306371034984775,-0.034761388739934194
3523701,Itirapuã,Óbitos totais,5861,Não,0.4825263953861682,0.05195710611331135
3523800,Itobi,Óbitos totais,8210,Sim,0.7090856366789398,-0.0279606448916587
3523909,Itu,Óbitos totais,174561,Sim,0.3267137814787244,-0.06411937229035695
3524006,Itupeva,Óbitos totais,74119,Sim,1.91176804672146e-5,0.2995864548095844
3524105,Ituverava,Óbitos totais,38451,Sim,0.8151215527266618,-0.017139926706629803
3524204,Jaborandi,Óbitos totais,6293,Sim,0.026946253150867166,0.16421441091520364
3524303,Jaboticabal,Óbitos totais,73467,Sim,0.1605791452260385,-0.09756653500555595
